"Read","Counts","Read Position Start","Read Position End","Read Size (rs)","Mean Read Size (mrs)","mrs/rs"
"SL2.50ch00:10000363-10002183","374","10000363","10002183","1820","1549.65308533","1.17445641043"
"SL2.50ch00:10005133-10011081","1629","10005133","10011081","5948","1549.65308533","3.83827842265"
"SL2.50ch00:10007543-10011086","1180","10007543","10011086","3543","1549.65308533","2.28631816601"
"SL2.50ch00:10028416-10029802","153","10028416","10029802","1386","1549.65308533","0.894393727941"
"SL2.50ch00:10040285-10041207","92","10040285","10041207","922","1549.65308533","0.594971873854"
"SL2.50ch00:10065547-10066847","214","10065547","10066847","1300","1549.65308533","0.83889743602"
"SL2.50ch00:10066085-10066757","157","10066085","10066757","672","1549.65308533","0.43364544385"
"SL2.50ch00:10068678-10069836","137","10068678","10069836","1158","1549.65308533","0.747264023777"
"SL2.50ch00:10073255-10074181","439","10073255","10074181","926","1549.65308533","0.597553096734"
"SL2.50ch00:10073370-10074157","436","10073370","10074157","787","1549.65308533","0.507855601652"
"SL2.50ch00:10083573-10085215","199","10083573","10085215","1642","1549.65308533","1.05959199226"
"SL2.50ch00:10103462-10104050","173","10103462","10104050","588","1549.65308533","0.379439763369"
"SL2.50ch00:10103592-10104363","198","10103592","10104363","771","1549.65308533","0.497530710132"
"SL2.50ch00:10105958-10106333","61","10105958","10106333","375","1549.65308533","0.241989645006"
"SL2.50ch00:10110853-10111334","69","10110853","10111334","481","1549.65308533","0.310392051327"
"SL2.50ch00:10117330-10118340","147","10117330","10118340","1010","1549.65308533","0.651758777215"
"SL2.50ch00:10120640-10122337","211","10120640","10122337","1697","1549.65308533","1.09508380687"
"SL2.50ch00:10120685-10122305","206","10120685","10122305","1620","1549.65308533","1.04539526642"
"SL2.50ch00:10152857-10156261","459","10152857","10156261","3404","1549.65308533","2.19662067093"
"SL2.50ch00:10157394-10158622","155","10157394","10158622","1228","1549.65308533","0.792435424178"
"SL2.50ch00:10272195-10272892","159","10272195","10272892","697","1549.65308533","0.44977808685"
"SL2.50ch00:10272212-10272758","141","10272212","10272758","546","1549.65308533","0.352336923128"
"SL2.50ch00:10279897-10280460","84","10279897","10280460","563","1549.65308533","0.363307120368"
"SL2.50ch00:10282428-10283039","122","10282428","10283039","611","1549.65308533","0.394281794929"
"SL2.50ch00:10289429-10289804","73","10289429","10289804","375","1549.65308533","0.241989645006"
"SL2.50ch00:10290747-10292202","211","10290747","10292202","1455","1549.65308533","0.938919822622"
