"Read","Counts","Read Position Start","Read Position End","Read Size (rs)","Mean Read Size (mrs)","mrs/rs"
"SL2.50ch00:10005133-10011081","2406","10005133","10011081","5948","1534.31159643","3.87665713655"
"SL2.50ch00:10006571-10011218","2014","10006571","10011218","4647","1534.31159643","3.02871985769"
"SL2.50ch00:10028416-10029802","287","10028416","10029802","1386","1534.31159643","0.903336716755"
"SL2.50ch00:10040285-10041207","187","10040285","10041207","922","1534.31159643","0.600920961651"
"SL2.50ch00:10065547-10066847","389","10065547","10066847","1300","1534.31159643","0.847285520766"
"SL2.50ch00:10068678-10069836","271","10068678","10069836","1158","1534.31159643","0.754735871575"
"SL2.50ch00:10073347-10074116","428","10073347","10074116","769","1534.31159643","0.501201973438"
"SL2.50ch00:10073370-10074157","428","10073370","10074157","787","1534.31159643","0.51293361911"
"SL2.50ch00:10077053-10077901","214","10077053","10077901","848","1534.31159643","0.552690862777"
"SL2.50ch00:10083573-10085215","276","10083573","10085215","1642","1534.31159643","1.07018678854"
"SL2.50ch00:10103542-10104151","205","10103542","10104151","609","1534.31159643","0.396920678574"
"SL2.50ch00:10103592-10104363","242","10103592","10104363","771","1534.31159643","0.502505489623"
"SL2.50ch00:10105958-10106333","92","10105958","10106333","375","1534.31159643","0.244409284836"
"SL2.50ch00:10110853-10111334","96","10110853","10111334","481","1534.31159643","0.313495642683"
"SL2.50ch00:10117330-10118340","368","10117330","10118340","1010","1534.31159643","0.658275673826"
"SL2.50ch00:10120640-10122337","543","10120640","10122337","1697","1534.31159643","1.10603348365"
"SL2.50ch00:10152857-10156261","851","10152857","10156261","3404","1534.31159643","2.21858454822"
"SL2.50ch00:10157394-10158622","355","10157394","10158622","1228","1534.31159643","0.800358938077"
"SL2.50ch00:10272174-10272805","221","10272174","10272805","631","1534.31159643","0.411259356618"
"SL2.50ch00:10272195-10272892","227","10272195","10272892","697","1534.31159643","0.454275390749"
"SL2.50ch00:10279897-10280460","169","10279897","10280460","563","1534.31159643","0.366939806301"
"SL2.50ch00:10282406-10282910","146","10282406","10282910","504","1534.31159643","0.32848607882"
"SL2.50ch00:10282428-10283039","161","10282428","10283039","611","1534.31159643","0.39822419476"
"SL2.50ch00:10289371-10289773","119","10289371","10289773","402","1534.31159643","0.262006753345"
"SL2.50ch00:10289429-10289804","118","10289429","10289804","375","1534.31159643","0.244409284836"
"SL2.50ch00:10290747-10292202","322","10290747","10292202","1455","1534.31159643","0.948308025165"
"SL2.50ch00:10297658-10298405","348","10297658","10298405","747","1534.31159643","0.486863295394"
"SL2.50ch00:10297803-10298602","382","10297803","10298602","799","1534.31159643","0.520754716225"
"SL2.50ch00:10299758-10300798","269","10299758","10300798","1040","1534.31159643","0.677828416613"
"SL2.50ch00:10299813-10300215","119","10299813","10300215","402","1534.31159643","0.262006753345"
"SL2.50ch00:10302537-10303498","219","10302537","10303498","961","1534.31159643","0.626339527274"
"SL2.50ch00:10307200-10307668","117","10307200","10307668","468","1534.31159643","0.305022787476"
"SL2.50ch00:10310433-10311167","152","10310433","10311167","734","1534.31159643","0.478390440186"
"SL2.50ch00:10312893-10313507","200","10312893","10313507","614","1534.31159643","0.400179469039"
"SL2.50ch00:10399133-10400855","966","10399133","10400855","1722","1534.31159643","1.12232743597"
"SL2.50ch00:10399171-10400736","961","10399171","10400736","1565","1534.31159643","1.02000141538"
"SL2.50ch00:10401963-10403672","991","10401963","10403672","1709","1534.31159643","1.11385458076"
"SL2.50ch00:10402027-10403625","978","10402027","10403625","1598","1534.31159643","1.04150943245"
"SL2.50ch00:10405076-10406218","332","10405076","10406218","1142","1534.31159643","0.744307742088"
"SL2.50ch00:10410779-10412076","753","10410779","10412076","1297","1534.31159643","0.845330246487"
"SL2.50ch00:10410836-10412161","723","10410836","10412161","1325","1534.31159643","0.863579473088"
"SL2.50ch00:10413868-10414445","167","10413868","10414445","577","1534.31159643","0.376064419601"
"SL2.50ch00:10413950-10414440","160","10413950","10414440","490","1534.31159643","0.319361465519"
"SL2.50ch00:10421276-10421986","229","10421276","10421986","710","1534.31159643","0.462748245957"
"SL2.50ch00:10421280-10421993","229","10421280","10421993","713","1534.31159643","0.464703520235"
"SL2.50ch00:10423987-10424619","170","10423987","10424619","632","1534.31159643","0.411911114711"
"SL2.50ch00:10424007-10424533","148","10424007","10424533","526","1534.31159643","0.342824756864"
"SL2.50ch00:10428514-10429841","721","10428514","10429841","1327","1534.31159643","0.864882989274"
"SL2.50ch00:10428531-10429778","718","10428531","10429778","1247","1534.31159643","0.812742341842"
"SL2.50ch00:10431271-10432050","195","10431271","10432050","779","1534.31159643","0.507719554367"
"SL2.50ch00:10438285-10439172","231","10438285","10439172","887","1534.31159643","0.5781094284"
"SL2.50ch00:10438383-10439152","206","10438383","10439152","769","1534.31159643","0.501201973438"
"SL2.50ch00:10478820-10479373","120","10478820","10479373","553","1534.31159643","0.360422225372"
"SL2.50ch00:10479107-10484403","1306","10479107","10484403","5296","1534.31159643","3.45171085998"
"SL2.50ch00:10480220-10481435","343","10480220","10481435","1215","1534.31159643","0.79188608287"
"SL2.50ch00:10483452-10484394","294","10483452","10484394","942","1534.31159643","0.613956123509"
"SL2.50ch00:10485674-10487518","974","10485674","10487518","1844","1534.31159643","1.2018419233"
"SL2.50ch00:10485719-10487540","972","10485719","10487540","1821","1534.31159643","1.18685148717"
"SL2.50ch00:10489689-10497666","1894","10489689","10497666","7977","1534.31159643","5.19907430704"
"SL2.50ch00:10508251-10508728","140","10508251","10508728","477","1534.31159643","0.310888610312"
"SL2.50ch00:10574785-10576108","668","10574785","10576108","1323","1534.31159643","0.862275956903"
"SL2.50ch00:10574831-10576116","668","10574831","10576116","1285","1534.31159643","0.837509149372"
"SL2.50ch00:10577299-10578748","294","10577299","10578748","1449","1534.31159643","0.944397476608"
"SL2.50ch00:10583343-10583980","138","10583343","10583980","637","1534.31159643","0.415169905175"
"SL2.50ch00:10588089-10588760","189","10588089","10588760","671","1534.31159643","0.437329680334"
"SL2.50ch00:10591312-10591687","73","10591312","10591687","375","1534.31159643","0.244409284836"
"SL2.50ch00:10600386-10601998","404","10600386","10601998","1612","1534.31159643","1.05063404575"
